CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,DAY_OF_WEEK,origin_lat,origin_lng,dest_lat,dest_lng,arrivedLate
927,1144,641,3,30.4833,86.5253,32.8969,97.0381,0
1300,1400,239,5,29.6456,95.2789,32.8472,96.8517,1
1525,1715,740,5,40.6397,73.7789,41.9808,87.9067,0
710,809,1055,5,32.8969,97.0381,36.08,115.1522,0
635,822,413,5,42.3631,71.0064,38.9475,77.46,0
750,1016,1558,5,39.8722,75.2408,39.8617,104.6731,0
1745,2008,762,7,33.6367,84.4281,40.7772,73.8725,0
1510,1701,1009,7,33.4342,112.0117,45.5883,122.5975,1
1425,1625,1521,3,41.7861,87.7525,36.08,115.1522,1
1235,1452,802,7,32.8969,97.0381,41.9808,87.9067,1
900,1136,802,2,41.9808,87.9067,32.8969,97.0381,1
815,1112,599,1,37.6189,122.375,40.7883,111.9778,1
1809,1935,361,6,35.2139,80.9431,39.1753,76.6683,0
1110,1414,782,3,37.65,97.4331,33.6367,84.4281,0
1715,2019,641,4,39.8617,104.6731,32.8969,97.0381,0
845,1145,678,1,41.9808,87.9067,39.8722,75.2408,0
1020,1101,102,6,21.3187,157.9225,21.976,159.3389,0
930,1256,1096,6,40.7772,73.8725,25.7932,80.2906,1
925,1020,495,5,35.3931,97.6008,39.8617,104.6731,1
1945,2045,226,1,36.08,115.1522,33.6756,117.8683,1
1636,1710,102,6,21.976,159.3389,21.3187,157.9225,0
1855,2224,936,5,32.8969,97.0381,35.2139,80.9431,0
1130,1958,2475,4,33.9425,118.4072,40.6397,73.7789,1
600,1413,2402,5,47.45,122.3117,40.6925,74.1686,0
1205,1341,500,2,32.8969,97.0381,30.4072,89.07,1
1314,1437,354,2,37.6189,122.375,33.8178,118.1517,0
812,1507,1749,3,36.08,115.1522,42.2125,83.3533,1
1216,1430,708,3,32.1275,81.2022,40.6925,74.1686,1
1144,1418,794,6,43.1111,76.1064,33.6367,84.4281,0
1825,2109,1744,4,41.9808,87.9067,33.9425,118.4072,1
1320,1524,1062,7,29.9933,90.2581,39.8617,104.6731,0
945,1318,1062,2,39.8617,104.6731,29.9933,90.2581,1
2145,2155,304,2,33.4342,112.0117,32.7336,117.1897,0
